file,stratified,splits,disc,bins,acc,pr,rec,f1
iris.csv,0,2,1,4,0.9533333333333331,0.9550671779705127,0.953868138450847,0.952893045372646
iris.csv,0,3,1,4,0.9613333333333334,0.9619503443893784,0.9612873538902165,0.9597559571125188
iris.csv,0,5,1,4,0.962,0.9628903688903689,0.9627300569800571,0.9601101526175949
iris.csv,0,10,1,4,0.9646666666666667,0.9648015873015874,0.9646996151996152,0.9586581236101358
iris.csv,1,2,1,4,0.96,0.9621877449553612,0.96,0.9599087883665314
iris.csv,1,3,1,4,0.9681781045751634,0.9696007243053169,0.9681781045751633,0.968130993599052
iris.csv,1,5,1,4,0.966,0.9698383838383838,0.9659999999999999,0.9658134224450012
iris.csv,1,10,1,4,0.9633333333333335,0.970142857142857,0.9633333333333333,0.9625959595959597
iris.csv,1,10,0,0,0.9540000000000001,0.9607301587301589,0.954,0.9533636363636363
iris.csv,1,10,1,2,0.3733333333333334,0.2693772893772894,0.37333333333333335,0.23428849902534116
iris.csv,1,10,1,4,0.9646666666666665,0.9702460317460317,0.9646666666666665,0.964181818181818
iris.csv,1,10,1,7,0.9593333333333334,0.9664642857142857,0.9593333333333334,0.9584890664890665
iris.csv,1,10,1,10,0.9533333333333334,0.9588571428571429,0.9533333333333334,0.9528013468013468
iris.csv,1,10,1,15,0.932,0.9444880952380952,0.9319999999999998,0.9304570799570799
iris.csv,1,10,2,2,0.7186666666666667,0.714244708994709,0.7186666666666667,0.672100603100603
iris.csv,1,10,2,4,0.8726666666666667,0.8858412698412698,0.8726666666666668,0.8716568431568431
iris.csv,1,10,2,7,0.9213333333333334,0.9328439153439154,0.9213333333333334,0.9192395567395568
iris.csv,1,10,2,10,0.9373333333333335,0.9478253968253968,0.9373333333333331,0.9361767676767675
iris.csv,1,10,2,15,0.9333333333333336,0.9431984126984126,0.9333333333333332,0.9318788063788064
iris.csv,1,10,3,2,0.9493333333333334,0.9573849206349209,0.9493333333333334,0.9490152810152811
iris.csv,1,10,3,4,0.9260000000000002,0.9355555555555556,0.9260000000000002,0.923994708994709
iris.csv,1,10,3,7,0.914,0.9245396825396826,0.9139999999999999,0.911995744995745
iris.csv,1,10,3,10,0.9146666666666666,0.9279325396825397,0.9146666666666666,0.9117310097310097
iris.csv,1,10,3,15,0.9293333333333333,0.9384761904761904,0.9293333333333333,0.9281010101010102
