iris.csv,2,0,0,"(0.94, 0.941050931087163, 0.94, 0.9399278942346169)"
iris.csv,2,1,2,"(0.37333333333333335, 0.4490740740740741, 0.37333333333333335, 0.24324987727049577)"
iris.csv,2,1,3,"(0.7733333333333333, 0.765546152283853, 0.7733333333333334, 0.7628041711375044)"
iris.csv,2,1,4,"(0.9666666666666667, 0.9678893637226971, 0.9666666666666666, 0.9666372959440186)"
iris.csv,2,1,5,"(0.8866666666666667, 0.8975191223832528, 0.8866666666666667, 0.8856268765234494)"
iris.csv,2,1,6,"(0.9199999999999999, 0.9199999999999999, 0.9199999999999999, 0.9199999999999999)"
iris.csv,2,1,7,"(0.9466666666666667, 0.9475684380032207, 0.9466666666666667, 0.9466239316239315)"
iris.csv,2,1,8,"(0.88, 0.8877419354838709, 0.8799999999999999, 0.8794155844155844)"
iris.csv,2,1,9,"(0.9333333333333333, 0.9353216228216228, 0.9333333333333333, 0.9331567231469062)"
iris.csv,2,1,10,"(0.92, 0.9208158883521202, 0.9199999999999999, 0.9199358974358973)"
iris.csv,2,1,15,"(0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333)"
iris.csv,2,1,20,"(0.94, 0.9401012634708288, 0.94, 0.9395508203281312)"
iris.csv,2,3,2,"(0.5866666666666667, 0.43150522317188983, 0.5866666666666667, 0.48230053855361177)"
iris.csv,2,3,3,"(0.7866666666666666, 0.8428978428978429, 0.7866666666666666, 0.7625940293584138)"
iris.csv,2,3,4,"(0.7466666666666666, 0.7580191050779286, 0.7466666666666667, 0.7361602860794311)"
iris.csv,2,3,5,"(0.86, 0.8631149097815765, 0.8599999999999999, 0.8568641802685188)"
iris.csv,2,3,6,"(0.8466666666666667, 0.845137451115712, 0.8466666666666667, 0.8447020559554251)"
iris.csv,2,3,7,"(0.8733333333333333, 0.8709307359307359, 0.8733333333333333, 0.8711334136223738)"
iris.csv,2,3,8,"(0.8466666666666667, 0.8533523642219294, 0.8466666666666667, 0.8464127415908174)"
iris.csv,2,3,9,"(0.9066666666666667, 0.9073992673992675, 0.9066666666666667, 0.9055315886267004)"
iris.csv,2,3,10,"(0.8866666666666667, 0.8873504273504274, 0.8866666666666666, 0.8867707082833133)"
iris.csv,2,3,15,"(0.9199999999999999, 0.9214541014541013, 0.9199999999999999, 0.9195566164375559)"
iris.csv,2,3,20,"(0.9266666666666666, 0.9284199134199134, 0.9266666666666667, 0.9264980596815202)"
iris.csv,2,2,2,"(0.6333333333333333, 0.5638596592107028, 0.6333333333333333, 0.5820582992435497)"
iris.csv,2,2,3,"(0.7333333333333333, 0.793528306319004, 0.7333333333333334, 0.7302084410841045)"
iris.csv,2,2,4,"(0.9266666666666667, 0.92726413146703, 0.9266666666666665, 0.9263485137644801)"
