file,stratified,splits,disc,bins,acc,pr,rec,f1
glass.csv,0,2,1,4,0.5493506493506494,0.34028860028860036,0.2558531746031746,0.2820149305350544
glass.csv,0,3,1,4,0.5493506493506494,0.34028860028860036,0.2558531746031746,0.2820149305350544
glass.csv,0,5,1,4,0.5493506493506494,0.34028860028860036,0.2558531746031746,0.2820149305350544
glass.csv,0,10,1,4,0.5493506493506494,0.34028860028860036,0.2558531746031746,0.2820149305350544
glass.csv,1,2,1,4,0.45386631716906944,0.4589455499824078,0.39377610693400167,0.3815194901417811
glass.csv,1,3,1,4,0.6292128012887351,0.5806908777497012,0.6022428671704034,0.5640973881950092
glass.csv,1,5,1,4,0.6360074163562535,0.5424857654385519,0.5963095238095237,0.5507780539043217
glass.csv,1,10,1,4,0.6448136645962733,0.557037999037999,0.6023412698412699,0.5668630354853266
glass.csv,1,10,0,0,0.43194366020452984,0.2815700965700966,0.36503968253968255,0.3056306095005786
glass.csv,1,10,1,2,0.47318777840516973,0.4121122262240683,0.47351190476190474,0.41915141396918887
glass.csv,1,10,1,4,0.6448136645962733,0.557037999037999,0.6023412698412699,0.5668630354853266
glass.csv,1,10,1,7,0.6220271033314512,0.5420319865319865,0.5537301587301589,0.5306348235527802
glass.csv,1,10,1,10,0.6188427755819059,0.582261396011396,0.5973214285714287,0.5758454519909628
glass.csv,1,10,1,15,0.6295928226363008,0.5489820827320828,0.5445436507936509,0.533186206924597
glass.csv,1,10,2,2,0.6458225108225109,0.6007092352092351,0.6166269841269841,0.5832289827761964
glass.csv,1,10,2,4,0.6053143233578016,0.5608670033670033,0.5921428571428571,0.5526247867150074
glass.csv,1,10,2,7,0.6570851370851372,0.6052687590187589,0.6064285714285714,0.5904651656990801
glass.csv,1,10,2,10,0.6377184892402283,0.5529927572427573,0.5496825396825398,0.5423010456176092
glass.csv,1,10,2,15,0.610740008783487,0.5049744468494468,0.5220238095238096,0.5035220704647949
glass.csv,1,10,3,2,0.6160016312190225,0.5342100492100491,0.5681944444444444,0.5269422914546753
glass.csv,1,10,3,4,0.5627570738440303,0.5604774854774855,0.5653571428571429,0.5426715991267075
glass.csv,1,10,3,7,0.6580547713156409,0.5594867724867725,0.5609722222222222,0.5447552412066479
glass.csv,1,10,3,10,0.6184239914674697,0.5551209716209715,0.5382936507936508,0.5321229359112991
glass.csv,1,10,3,15,0.6233041596085074,0.5351688034188034,0.5434722222222221,0.5230267771444241
