file,stratified,splits,disc,bins,acc,pr,rec,f1
wine.csv,0,2,1,4,0.944943820224719,0.9505265082698504,0.9456786357641791,0.9463959163745477
wine.csv,0,3,1,4,0.958954802259887,0.9634413409630467,0.960223021446485,0.960263280923136
wine.csv,0,5,1,4,0.963015873015873,0.9682412227149069,0.9634742274409456,0.9637558370972968
wine.csv,0,10,1,4,0.9659150326797384,0.9716884319384318,0.9687194194694193,0.9670026835615341
wine.csv,1,2,1,4,0.9427020202020202,0.9497514877996333,0.9419521985039226,0.9443021396067399
wine.csv,1,3,1,4,0.9562068965517241,0.9618152873285462,0.956732244257988,0.9579673994295721
wine.csv,1,5,1,4,0.9554482297423472,0.9620931992843758,0.957016835016835,0.9575036108758954
wine.csv,1,10,1,4,0.9622635018919847,0.970106661856662,0.9634246031746032,0.9639551472492647
wine.csv,1,10,0,0,0.9730015909872721,0.9757605820105819,0.9754920634920635,0.9736882964530025
wine.csv,1,10,1,2,0.35964245786033716,0.15717213061562907,0.3023214285714285,0.18701431000561436
wine.csv,1,10,1,4,0.9641569917440661,0.9715952380952382,0.9653968253968254,0.965553413362237
wine.csv,1,10,1,7,0.9624281905744754,0.9695198412698414,0.9644484126984129,0.9640150786033137
wine.csv,1,10,1,10,0.97593653250774,0.9789523809523809,0.9777420634920635,0.9767011234952412
wine.csv,1,10,1,15,0.9479944960440317,0.9568214285714285,0.9479285714285715,0.9487684456066809
wine.csv,1,10,2,2,0.9385881062951495,0.9456243386243386,0.9434404761904762,0.9392020833197302
wine.csv,1,10,2,4,0.9877014533883729,0.9900476190476191,0.9883492063492063,0.9883815998815999
wine.csv,1,10,2,7,0.9678592621259028,0.9746441798941801,0.9683373015873016,0.968679367473485
wine.csv,1,10,2,10,0.9789806931544549,0.9823399470899472,0.9804960317460317,0.9797774817774819
wine.csv,1,10,2,15,0.984624183006536,0.9874563492063493,0.985126984126984,0.9851240611240613
wine.csv,1,10,3,2,0.972922041623667,0.9767182539682541,0.975484126984127,0.974097153391271
wine.csv,1,10,3,4,0.9773473512211902,0.9781719576719577,0.9806031746031747,0.9775322732822731
wine.csv,1,10,3,7,0.9775849243206055,0.9817314814814815,0.9776944444444446,0.9777437469937471
wine.csv,1,10,3,10,0.9658193584451323,0.9706031746031746,0.9687698412698411,0.9670529878618114
wine.csv,1,10,3,15,0.9648363863089093,0.9705211640211641,0.9653650793650794,0.9655749098396157
